"File Name";"Internal Name";"Description";"Game Name";"Game Description";"Type";"Rom Name";"Disk Name";"Size";"CRC";"MD5";"SHA1";"SHA256";"Nodump"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6-CharSwap-FE7 (2xHard Mode)";"";"rom";"308 - FE6-CharSwap-FE7 (2xHard Mode)";"";"18309172";"bb581777";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6-CharSwap-FE7 (100% Growths)";"";"rom";"307 - FE6-CharSwap-FE7 (100% Growths)";"";"18309172";"77c9f83b";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6-CharSwap-FE7 (Fixed Growths)";"";"rom";"304 - FE6-CharSwap-FE7 (Fixed Growths)";"";"18309172";"5b05e1b3";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6-CharSwap-FE7";"";"rom";"303 - FE6-CharSwap-FE7";"";"18309172";"077fb7f5";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE7 Allegiance Reversal+";"";"rom";"264 - FE7 Allegiance Reversal+";"";"16911048";"8870c624";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE7 Chaos Mode";"";"rom";"332 - FE7 Chaos Mode";"";"18767508";"0f92ff9b";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE7 Inflation";"";"rom";"112 - FE7 Inflation";"";"17825792";"6ea83897";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE7 Lute Mode";"";"rom";"341 - FE7 Lute Mode";"";"16785796";"969bae21";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE7if";"";"rom";"109 - FE7if";"";"33554432";"6eca79ce";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 All Weapons are Devil Weapons";"";"rom";"384 - FE8 All Weapons are Devil Weapons";"";"16777216";"711edbc9";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 Boss Recruitment (Ephraim Route)";"";"rom";"366 - FE8 Boss Recruitment (Ephraim Route)";"";"17208220";"6fa24ab4";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 Changes Lite";"";"rom";"396 - FE8 Changes Lite";"";"16795848";"e41e4c1e";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 Chaos Randomizer (Normal recruitment, original base stats)";"";"rom";"368 - FE8 Chaos Randomizer (Normal recruitment, original base stats)";"";"17060990";"bff6749e";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 Chaos Randomizer (Normal recruitment, randomized base stats)";"";"rom";"369 - FE8 Chaos Randomizer (Normal recruitment, randomized base stats)";"";"17060850";"ae757366";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 Chaos Randomizer (Random recruitment, original base stats)";"";"rom";"372 - FE8 Chaos Randomizer (Random recruitment, original base stats)";"";"17060850";"4eec4cf1";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 Chaos Randomizer (Random recruitment, randomized base stats)";"";"rom";"373 - FE8 Chaos Randomizer (Random recruitment, randomized base stats)";"";"17061057";"319c60ec";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 Chaos Randomizer (Reverse recruitment, original base stats)";"";"rom";"370 - FE8 Chaos Randomizer (Reverse recruitment, original base stats)";"";"17060992";"01637d87";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 Chaos Randomizer (Reverse recruitment, randomized base stats)";"";"rom";"371 - FE8 Chaos Randomizer (Reverse recruitment, randomized base stats)";"";"17061045";"f6ffef3c";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 Creature Campaign Reverse Recruitment (Eirika)";"";"rom";"379 - FE8 Creature Campaign Reverse Recruitment (Eirika)";"";"16799568";"53f063ca";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 Creature Campaign Reverse Recruitment (Ephraim)";"";"rom";"380 - FE8 Creature Campaign Reverse Recruitment (Ephraim)";"";"16802988";"1cddfc8d";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 Fanmade Directors Cut";"";"rom";"400 - FE8 Fanmade Directors Cut";"";"21871792";"a7a210d5";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 Lyn Windy";"";"rom";"374 - FE8 Lyn Windy";"";"17203948";"c7a95be3";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 Maniac Mode";"";"rom";"393 - FE8 Maniac Mode";"";"16863800";"b4861fca";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 Master Version";"";"rom";"378 - FE8 Master Version";"";"16822640";"51b9c9db";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 midori (Green)";"";"rom";"176 - FE8 midori (Green)";"";"33554432";"25d88b16";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 midori (Green) (English Translation)";"";"rom";"177 - FE8 midori (Green) (English Translation)";"";"33554432";"4279b308";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 Negative Growths";"";"rom";"367 - FE8 Negative Growths";"";"16777216";"3c7352c1";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 Oops, All Archers!";"";"rom";"403 - FE8 Oops, All Archers!";"";"16912200";"0c7a2625";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 Project Dark";"";"rom";"397 - FE8 Project Dark";"";"17578004";"4b31296b";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 QoL Edition";"";"rom";"375 - FE8 QoL Edition";"";"16802916";"f45762e5";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 Redux";"";"rom";"399 - FE8 Redux";"";"29224272";"b767b1dd";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 Remix";"";"rom";"388 - FE8 Remix";"";"24792284";"98a5a872";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 Reverse Recruitment Self Randomizer (The Sacred Lyon’s Hard Mode)";"";"rom";"351 - FE8 Reverse Recruitment Self Randomizer (The Sacred Lyon’s Hard Mode)";"";"28528740";"2e232219";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 Reverse Recruitment Self Randomizer (villagedoesnotrhymewithpillage)";"";"rom";"350 - FE8 Reverse Recruitment Self Randomizer (villagedoesnotrhymewithpillage)";"";"27797400";"f0217101";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE8 Reverse Recruitment Self Randomizer (villagerhymeswithpillage)";"";"rom";"349 - FE8 Reverse Recruitment Self Randomizer (villagerhymeswithpillage)";"";"27797400";"66e98aba";"";"";"";"None"
