"File Name","Internal Name","Description","Game Name","Game Description","Type","Rom Name","Disk Name","Size","CRC","MD5","SHA1","SHA256","Nodump"
"laqieer - Fire Emblem - Game Boy Advance.xml","laqieer - Fire Emblem - Game Boy Advance","Fire Emblem ROM hacks","Fire Emblem - Fuuin no Tsurugi (Japan)","","rom","1 - Fire Emblem - Fuuin no Tsurugi (Japan).gba","","8388608","d38763e1","","","","None"
"laqieer - Fire Emblem - Game Boy Advance.xml","laqieer - Fire Emblem - Game Boy Advance","Fire Emblem ROM hacks","Fire Emblem - Fuuin no Tsurugi (Japan)[CGP & W_anthony][CHS]","","rom","21 - Fire Emblem - Fuuin no Tsurugi (Japan)[CGP & W_anthony][CHS].gba","","10415546","4a7bf795","","","","None"
"laqieer - Fire Emblem - Game Boy Advance.xml","laqieer - Fire Emblem - Game Boy Advance","Fire Emblem ROM hacks","Fire Emblem - Fuuin no Tsurugi (Japan)[Superxyj][CHS]","","rom","20 - Fire Emblem - Fuuin no Tsurugi (Japan)[Superxyj][CHS].gba","","9676785","823c3801","","","","None"
"laqieer - Fire Emblem - Game Boy Advance.xml","laqieer - Fire Emblem - Game Boy Advance","Fire Emblem ROM hacks","Fire Emblem - Fuuin no Tsurugi (Japan)[Wolf & Chinafe](v1.1)(2006090701) [CHS]","","rom","30 - Fire Emblem - Fuuin no Tsurugi (Japan)[Wolf & Chinafe](v1.1)(2006090701) [CHS].gba","","8388608","1ccf7040","","","","None"
"laqieer - Fire Emblem - Game Boy Advance.xml","laqieer - Fire Emblem - Game Boy Advance","Fire Emblem ROM hacks","Fire Emblem - Fuuin no Tsurugi (Japan)[Wolf & Chinafe](v20060906) [CHS]","","rom","22 - Fire Emblem - Fuuin no Tsurugi (Japan)[Wolf & Chinafe](v20060906) [CHS].gba","","8388608","1f19d989","","","","None"
"laqieer - Fire Emblem - Game Boy Advance.xml","laqieer - Fire Emblem - Game Boy Advance","Fire Emblem ROM hacks","Fire Emblem - Heroes Remake","","rom","100 - Fire Emblem - Heroes Remake.gba","","31526756","1c4fcc59","","","","None"
"laqieer - Fire Emblem - Game Boy Advance.xml","laqieer - Fire Emblem - Game Boy Advance","Fire Emblem ROM hacks","Fire Emblem - Reawakening","","rom","146 - Fire Emblem - Reawakening.gba","","20016012","9f92a410","","","","None"
"laqieer - Fire Emblem - Game Boy Advance.xml","laqieer - Fire Emblem - Game Boy Advance","Fire Emblem ROM hacks","Fire Emblem - Rekka no Ken (Japan)","","rom","2 - Fire Emblem - Rekka no Ken (Japan).gba","","16777216","f0c10e72","","","","None"
"laqieer - Fire Emblem - Game Boy Advance.xml","laqieer - Fire Emblem - Game Boy Advance","Fire Emblem ROM hacks","Fire Emblem - Rekka no Ken (Japan) (Beta) (06-02-2003)","","rom","9 - Fire Emblem - Rekka no Ken (Japan) (Beta) (06-02-2003).gba","","16777216","b40d6854","","","","None"
"laqieer - Fire Emblem - Game Boy Advance.xml","laqieer - Fire Emblem - Game Boy Advance","Fire Emblem ROM hacks","Fire Emblem - Rekka no Ken (Japan) (Beta) (19-02-2003)","","rom","10 - Fire Emblem - Rekka no Ken (Japan) (Beta) (19-02-2003).gba","","16777216","8146a270","","","","None"
"laqieer - Fire Emblem - Game Boy Advance.xml","laqieer - Fire Emblem - Game Boy Advance","Fire Emblem ROM hacks","Fire Emblem - Rekka no Ken (Japan)[CGP][CHS]","","rom","24 - Fire Emblem - Rekka no Ken (Japan)[CGP][CHS].gba","","19030368","042c159c","","","","None"
